Trip nr,Date,Port,Boat,Area,Latt,Long,Depth (fa),Depth (m),Nights,Set,Number Nets,Net Length,Mesh size (inch),Hight of nets (number of mesh),Number of lumpfish,Birds,BLGU,COEI,GRCO,EUSH,ATPU,COMU,LTDU,RAZO,Mammals,Species
1,03/04/2016,Vopnafjordur,Ás,F,66.10493,14.5688,15,28.2,3,18,6,61,10.5,12,30,0,0,0,0,0,0,0,0,0,1,Landselur
1,03/04/2016,Vopnafjordur,Ás,F,66.10399,14.56975,15,28.2,3,19,6,61,10.5,12,28,0,0,0,0,0,0,0,0,0,1,Hnýsa
1,03/04/2016,Vopnafjordur,Ás,F,66.10849,14.55712,14,26.32,3,13,6,61,10.5,12,35,1,0,0,0,0,0,1,0,0,0,
1,03/04/2016,Vopnafjordur,Ás,F,66.16225,14.53218,32,60.16,3,1,6,61,10.5,12,33,0,0,0,0,0,0,0,0,0,0,
1,03/04/2016,Vopnafjordur,Ás,F,66.1145,14.52789,31,58.28,3,2,6,61,10.5,12,19,0,0,0,0,0,0,0,0,0,0,
1,03/04/2016,Vopnafjordur,Ás,F,66.11554,14.52587,28,52.64,3,3,6,61,10.5,12,23,0,0,0,0,0,0,0,0,0,0,
1,03/04/2016,Vopnafjordur,Ás,F,66.1164,14.52382,27,50.76,3,4,6,61,10.5,12,26,0,0,0,0,0,0,0,0,0,0,
1,03/04/2016,Vopnafjordur,Ás,F,66.11729,14.5373,15,28.2,3,5,6,61,10.5,12,11,0,0,0,0,0,0,0,0,0,0,
1,03/04/2016,Vopnafjordur,Ás,F,66.11644,14.53842,16,30.08,3,6,6,61,10.5,12,17,0,0,0,0,0,0,0,0,0,0,
1,03/04/2016,Vopnafjordur,Ás,F,66.11589,14.5398,16,30.08,3,7,6,61,10.5,12,31,0,0,0,0,0,0,0,0,0,0,
1,03/04/2016,Vopnafjordur,Ás,F,66.1137,14.54528,16,30.08,3,8,6,61,10.5,12,39,0,0,0,0,0,0,0,0,0,0,
1,03/04/2016,Vopnafjordur,Ás,F,66.11261,14.54798,16,30.08,3,9,6,61,10.5,12,41,0,0,0,0,0,0,0,0,0,0,
1,03/04/2016,Vopnafjordur,Ás,F,66.11133,14.54938,16,30.08,3,10,6,61,10.5,12,42,0,0,0,0,0,0,0,0,0,0,
1,03/04/2016,Vopnafjordur,Ás,F,66.1106,14.5522,15,28.2,3,11,6,61,10.5,12,40,0,0,0,0,0,0,0,0,0,0,
1,03/04/2016,Vopnafjordur,Ás,F,66.11012,14.55465,13,24.44,3,12,6,61,10.5,12,36,0,0,0,0,0,0,0,0,0,0,
1,03/04/2016,Vopnafjordur,Ás,F,66.10804,14.65009,14,26.32,3,14,6,61,10.5,12,25,0,0,0,0,0,0,0,0,0,0,
1,03/04/2016,Vopnafjordur,Ás,F,66.10733,14.56191,15,28.2,3,15,6,61,10.5,12,35,0,0,0,0,0,0,0,0,0,0,
1,03/04/2016,Vopnafjordur,Ás,F,66.10674,14.56331,15,28.2,3,16,6,61,10.5,12,17,0,0,0,0,0,0,0,0,0,0,
1,03/04/2016,Vopnafjordur,Ás,F,66.10499,14.56545,15,28.2,3,17,6,61,10.5,12,33,0,0,0,0,0,0,0,0,0,0,
1,03/04/2016,Vopnafjordur,Ás,F,66.10391,14.57166,15,28.2,3,20,6,61,10.5,12,32,0,0,0,0,0,0,0,0,0,0,
1,03/04/2016,Vopnafjordur,Ás,F,66.10357,14.57348,15,28.2,3,21,6,61,10.5,12,24,0,0,0,0,0,0,0,0,0,0,
2,03/04/2016,Vopnafjordur,Viggi NS,F,65.5555,14.3488,40,75.2,5,1,7,60,10.5,12,19,0,0,0,0,0,0,0,0,0,0,
2,03/04/2016,Vopnafjordur,Viggi NS,F,65.5565,14.3482,42,78.96,3,2,7,60,10.5,12,38,0,0,0,0,0,0,0,0,0,0,
2,03/04/2016,Vopnafjordur,Viggi NS,F,65.5556,14.35,40.4,75.952,3,3,7,60,10.5,12,48,0,0,0,0,0,0,0,0,0,0,
2,03/04/2016,Vopnafjordur,Viggi NS,F,65.5577,14.3484,37.2,69.936,3,4,7,60,10.5,12,55,0,0,0,0,0,0,0,0,0,0,
2,03/04/2016,Vopnafjordur,Viggi NS,F,65.5586,14.3466,40,75.2,3,5,7,60,10.5,12,42,0,0,0,0,0,0,0,0,0,0,
2,03/04/2016,Vopnafjordur,Viggi NS,F,65.5602,14.3449,44.5,83.66,3,6,7,60,10.5,12,41,0,0,0,0,0,0,0,0,0,0,
2,03/04/2016,Vopnafjordur,Viggi NS,F,65.5619,14.3429,47,88.36,3,7,7,60,10.5,12,41,0,0,0,0,0,0,0,0,0,0,
2,03/04/2016,Vopnafjordur,Viggi NS,F,65.5722,14.3392,44,82.72,3,8,7,60,10.5,12,59,0,0,0,0,0,0,0,0,0,0,
2,03/04/2016,Vopnafjordur,Viggi NS,F,65.5741,14.3387,45,84.6,3,9,7,60,10.5,12,45,0,0,0,0,0,0,0,0,0,0,
2,03/04/2016,Vopnafjordur,Viggi NS,F,66.0203,14.3599,41,77.08,3,10,7,60,10.5,12,20,0,0,0,0,0,0,0,0,0,0,
2,03/04/2016,Vopnafjordur,Viggi NS,F,66.0218,14.3598,42,78.96,3,11,7,60,10.5,12,25,0,0,0,0,0,0,0,0,0,0,
2,03/04/2016,Vopnafjordur,Viggi NS,F,66.0246,14.3592,42.2,79.336,3,12,7,60,10.5,12,28,0,0,0,0,0,0,0,0,0,0,
2,03/04/2016,Vopnafjordur,Viggi NS,F,66.0265,14.3605,43.5,81.78,3,13,7,60,10.5,12,34,0,0,0,0,0,0,0,0,0,0,
2,03/04/2016,Vopnafjordur,Viggi NS,F,66.0321,14.3705,43.4,81.592,3,14,7,60,10.5,12,17,0,0,0,0,0,0,0,0,0,0,
2,03/04/2016,Vopnafjordur,Viggi NS,F,66.0354,14.379,36,67.68,3,15,7,60,10.5,12,26,0,0,0,0,0,0,0,0,0,0,
2,03/04/2016,Vopnafjordur,Viggi NS,F,66.0321,14.3671,43.5,81.78,5,16,7,60,10.5,12,17,0,0,0,0,0,0,0,0,0,0,
2,03/04/2016,Vopnafjordur,Viggi NS,F,66.0379,14.3685,42.9,80.652,3,17,7,60,10.5,12,26,0,0,0,0,0,0,0,0,0,0,
3,04/04/2016,Thorshofn,Garðar ÞH,E,66.17557,15.07951,7.2,13.536,1,1,5,66,10.5,12,37,0,0,0,0,0,0,0,0,0,0,
3,04/04/2016,Thorshofn,Garðar ÞH,E,66.17713,15.07527,8.5,15.98,1,2,5,66,10.5,12,22,0,0,0,0,0,0,0,0,0,0,
3,04/04/2016,Thorshofn,Garðar ÞH,E,66.17814,15.06805,8.4,15.792,1,3,5,66,10.5,12,32,0,0,0,0,0,0,0,0,0,0,
3,04/04/2016,Thorshofn,Garðar ÞH,E,66.18022,15.06908,8.1,15.228,1,4,5,66,10.5,12,23,0,0,0,0,0,0,0,0,0,0,
3,04/04/2016,Thorshofn,Garðar ÞH,E,66.18182,15.06595,8.8,16.544,1,5,5,66,10.5,12,30,0,0,0,0,0,0,0,0,0,0,
3,04/04/2016,Thorshofn,Garðar ÞH,E,66.18451,15.07155,9.6,18.048,1,6,5,66,10.5,12,41,0,0,0,0,0,0,0,0,0,0,
3,04/04/2016,Thorshofn,Garðar ÞH,E,66.18278,15.05627,7,13.16,1,7,5,66,10.5,12,37,0,0,0,0,0,0,0,0,0,0,
3,04/04/2016,Thorshofn,Garðar ÞH,E,66.18292,15.05054,10.1,18.988,1,8,5,66,10.5,12,30,0,0,0,0,0,0,0,0,0,0,
3,04/04/2016,Thorshofn,Garðar ÞH,E,66.19051,15.03104,9.1,17.108,1,9,5,66,10.5,12,20,0,0,0,0,0,0,0,0,0,0,
3,04/04/2016,Thorshofn,Garðar ÞH,E,66.19176,15.03292,13,24.44,1,10,5,66,10.5,12,23,0,0,0,0,0,0,0,0,0,0,
3,04/04/2016,Thorshofn,Garðar ÞH,E,66.18915,15.03124,8.7,16.356,1,11,5,66,10.5,12,24,0,0,0,0,0,0,0,0,0,0,
3,04/04/2016,Thorshofn,Garðar ÞH,E,66.18724,15.03265,8.8,16.544,1,12,5,66,10.5,12,28,0,0,0,0,0,0,0,0,0,0,
3,04/04/2016,Thorshofn,Garðar ÞH,E,66.18745,15.03804,8,15.04,1,13,5,66,10.5,12,29,0,0,0,0,0,0,0,0,0,0,
4,04/04/2016,Thorshofn,Manni ÞH,E,66.1786,15.4253,6,11.28,3,6,5,68,10.5,12,113,1,0,0,0,0,0,0,1,0,0,
4,04/04/2016,Thorshofn,Manni ÞH,E,66.1543,15.2156,6,11.28,2,10,5,68,10.5,12,135,1,0,0,1,0,0,0,0,0,0,
4,04/04/2016,Thorshofn,Manni ÞH,E,66.1942,15.4042,12,22.56,3,1,5,68,10.5,12,68,0,0,0,0,0,0,0,0,0,0,
4,04/04/2016,Thorshofn,Manni ÞH,E,66.1926,15.4078,10,18.8,3,2,5,68,10.5,12,72,0,0,0,0,0,0,0,0,0,0,
4,04/04/2016,Thorshofn,Manni ÞH,E,66.1835,15.4155,10,18.8,3,3,5,68,10.5,12,94,0,0,0,0,0,0,0,0,0,0,
4,04/04/2016,Thorshofn,Manni ÞH,E,66.1876,15.4255,8,15.04,3,4,5,68,10.5,12,75,0,0,0,0,0,0,0,0,0,0,
4,04/04/2016,Thorshofn,Manni ÞH,E,66.183,15.418,9,16.92,3,5,5,68,10.5,12,58,0,0,0,0,0,0,0,0,0,0,
4,04/04/2016,Thorshofn,Manni ÞH,E,66.1575,15.4052,8,15.04,1,7,5,68,10.5,12,28,0,0,0,0,0,0,0,0,0,0,
4,04/04/2016,Thorshofn,Manni ÞH,E,66.1547,15.2188,4,7.52,2,8,5,68,10.5,12,110,0,0,0,0,0,0,0,0,0,0,
4,04/04/2016,Thorshofn,Manni ÞH,E,66.1543,15.219,7,13.16,2,9,5,68,10.5,12,72,0,0,0,0,0,0,0,0,0,0,
5,05/04/2016,Thorshofn,Garðar ÞH,E,66.1976,15.0173,12.3,23.124,2,6,5,66,10.5,12,51,1,0,0,1,0,0,0,0,0,0,
5,05/04/2016,Thorshofn,Garðar ÞH,E,66.1856,15.0603,9.9,18.612,2,1,5,66,10.5,12,60,0,0,0,0,0,0,0,0,0,0,
5,05/04/2016,Thorshofn,Garðar ÞH,E,66.1856,15.0503,11.1,20.868,2,2,5,66,10.5,12,48,0,0,0,0,0,0,0,0,0,0,
5,05/04/2016,Thorshofn,Garðar ÞH,E,66.1892,15.0505,11.6,21.808,2,3,5,66,10.5,12,64,0,0,0,0,0,0,0,0,0,0,
5,05/04/2016,Thorshofn,Garðar ÞH,E,66.1942,15.0299,12.6,23.688,2,4,5,66,10.5,12,59,0,0,0,0,0,0,0,0,0,0,
5,05/04/2016,Thorshofn,Garðar ÞH,E,66.1959,15.0269,11.6,21.808,2,5,5,66,10.5,12,55,0,0,0,0,0,0,0,0,0,0,
5,05/04/2016,Thorshofn,Garðar ÞH,E,66.2005,15.0187,13.4,25.192,2,7,5,66,10.5,12,29,0,0,0,0,0,0,0,0,0,0,
5,05/04/2016,Thorshofn,Garðar ÞH,E,66.1933,15.0359,12.8,24.064,1,8,5,66,10.5,12,21,0,0,0,0,0,0,0,0,0,0,
5,05/04/2016,Thorshofn,Garðar ÞH,E,66.1877,15.0393,11.9,22.372,1,9,5,66,10.5,12,22,0,0,0,0,0,0,0,0,0,0,
5,05/04/2016,Thorshofn,Garðar ÞH,E,66.1911,15.0721,14.8,27.824,1,10,5,66,10.5,12,19,0,0,0,0,0,0,0,0,0,0,
5,05/04/2016,Thorshofn,Garðar ÞH,E,66.1939,15.0675,17,31.96,1,11,5,66,10.5,12,27,0,0,0,0,0,0,0,0,0,0,
6,05/04/2016,Raufarhofn,Nanna Ósk II,E,66.2939,15.5188,9.4,17.672,2,1,5,66,10.5,12,10,0,0,0,0,0,0,0,0,0,0,
6,05/04/2016,Raufarhofn,Nanna Ósk II,E,66.2917,15.521,7.7,14.476,2,2,10,66,10.5,12,68,0,0,0,0,0,0,0,0,0,0,
6,05/04/2016,Raufarhofn,Nanna Ósk II,E,66.289,15.5228,9,16.92,2,3,10,66,10.5,12,50,0,0,0,0,0,0,0,0,0,0,
6,05/04/2016,Raufarhofn,Nanna Ósk II,E,66.2866,15.5305,9.2,17.296,2,4,10,66,10.5,12,53,0,0,0,0,0,0,0,0,0,0,
6,05/04/2016,Raufarhofn,Nanna Ósk II,E,66.2843,15.5345,10,18.8,2,5,10,66,10.5,12,68,0,0,0,0,0,0,0,0,0,0,
6,05/04/2016,Raufarhofn,Nanna Ósk II,E,66.2828,15.538,9,16.92,2,6,10,66,10.5,12,120,0,0,0,0,0,0,0,0,0,0,
7,06/04/2016,Kopasker,Jaki,E,66.2433,16.3329,12.3,23.124,2,1,8,65,10.5,12,100,0,0,0,0,0,0,0,0,0,0,
7,06/04/2016,Kopasker,Jaki,E,66.2451,16.3366,12.4,23.312,2,2,8,65,10.5,12,96,0,0,0,0,0,0,0,0,0,0,
7,06/04/2016,Kopasker,Jaki,E,66.2487,16.3383,10.6,19.928,2,3,8,65,10.5,12,75,0,0,0,0,0,0,0,0,0,0,
7,06/04/2016,Kopasker,Jaki,E,66.2845,16.3629,11.8,22.184,2,4,8,65,10.5,6-12/2-16,112,0,0,0,0,0,0,0,0,0,0,
7,06/04/2016,Kopasker,Jaki,E,66.283,16.3607,11.5,21.62,2,5,8,65,10.5,12,118,0,0,0,0,0,0,0,0,0,0,
7,06/04/2016,Kopasker,Jaki,E,66.2624,16.3524,11.6,21.808,2,6,8,65,10.5,12,77,0,0,0,0,0,0,0,0,0,0,
7,06/04/2016,Kopasker,Jaki,E,66.1841,16.2952,9.7,18.236,2,7,8,65,10.5,7-12/1-16,141,0,0,0,0,0,0,0,0,0,0,
8,06/04/2016,Kopasker,Stella EA,E,66.2028,16.3043,,15,3,1,8,60,10.5,12,276,0,0,0,0,0,0,0,0,0,0,
8,06/04/2016,Kopasker,Stella EA,E,66.2035,16.3092,,14,3,2,8,60,10.5,12,246,0,0,0,0,0,0,0,0,0,0,
