Fartøy;Dag;Måned;År;LenkeNr;Posisjon Latitude;Posisjon Longitude;Omr.-nr.;Lok.- nr.;Fiskedyp Min (favn);Fiskedyp Max (favn);Antall garn i lenken;Lengde per garn;Total garnlengde (meter);Ståtid (timer);Liter rårogn;Nøyaktighet kjeks;Ant. Kjeks;Nøyaktighet kall;Ant. kall;Bifangst totalt skarv;Bifangst totalt teist;Bifangst andre arter;Art 1 sjøpattedyr;Antall 1 sjøpattedyr;Art 2 sjøpattedyr;Antall 2 sjøpattedyr
Tøtta;14;5;2 012;1;7109,76;2535,59;4;26;7;-99;-99;-99;440;72;10;-99;26;-99;0;0;3;0;-99;-99;-99;-99
Tøtta;14;5;2 012;2;7109,93;2536,14;4;26;8;-99;-99;-99;440;72;7;-99;19;-99;3;0;0;0;-99;-99;-99;-99
Tøtta;14;5;2 012;3;7109,97;2536,24;4;26;6;-99;-99;-99;440;72;15;-99;35;-99;0;1;0;0;-99;-99;-99;-99
Tøtta;14;5;2 012;4;7110.14;2536.92;4;26;9;-99;-99;-99;440;72;11;-99;29;-99;0;1;0;0;-99;-99;-99;-99
Tøtta;14;5;2 012;5;7110.27;2537,54;4;26;9;-99;-99;-99;440;72;25;-99;50;-99;1;0;4;0;-99;-99;-99;-99
Tøtta;14;5;2 012;6;7110,15;2535,19;4;26;8;-99;-99;-99;440;72;9;-99;21;-99;0;0;2;0;-99;-99;-99;-99
Tøtta;14;5;2 012;7;7110,17;2535,64;4;26;10;-99;-99;-99;440;72;15;-99;30;-99;0;0;1;0;-99;-99;-99;-99
Tøtta;14;5;2 012;8;7110,33;2539,04;4;26;11;-99;-99;-99;440;72;19;-99;39;-99;1;0;0;0;-99;-99;-99;-99
Tøtta;16;5;2 012;9;7110,36;2540,61;4;26;5;-99;-99;-99;440;72;1;-99;2;-99;0;0;1;0;-99;-99;-99;-99
Tøtta;16;5;2 012;10;7110,47;2540,68;4;26;8;-99;-99;-99;440;72;25;-99;51;-99;0;0;0;0;-99;-99;-99;-99
Tøtta;16;5;2 012;11;7110,54;2540,78;4;26;8;-99;-99;-99;440;72;23;-99;46;-99;0;0;0;0;-99;-99;-99;-99
Tøtta;16;5;2 012;12;7110,70;2540,84;4;26;8;-99;-99;-99;440;72;2;-99;4;-99;1;0;0;0;-99;-99;-99;-99
Tøtta;16;5;2 012;13;7110,39;2540,27;4;26;7;-99;-99;-99;440;72;8;-99;15;-99;3;0;0;0;-99;-99;-99;-99
Tøtta;16;5;2 012;13;-99;-99;4;26;10;-99;-99;-99;440;72;18;-99;32;-99;1;0;0;0;-99;-99;-99;-99
Tøtta;16;5;2 012;14;-99;-99;4;26;10;-99;-99;-99;440;72;15;-99;29;-99;3;0;3;0;-99;-99;-99;-99
Tøtta;16;5;2 012;15;-99;-99;4;26;8;-99;-99;-99;440;72;21;-99;39;-99;2;0;0;0;-99;-99;-99;-99
Tøtta;16;5;2 012;16;-99;-99;4;26;12;-99;-99;-99;440;72;22;-99;40;-99;1;0;0;0;-99;-99;-99;-99
Tøtta;17;5;2 012;6;7109,45;2548,18;4;26;6;-99;-99;-99;440;24;8;-99;14;-99;0;0;0;1;-99;-99;-99;-99
Tøtta;17;5;2 012;7;7109,60;2548,71;4;26;7;-99;-99;-99;440;24;13;-99;23;-99;0;0;1;0;-99;-99;-99;-99
Tøtta;17;5;2 012;8;7109,77;2549,14;4;26;9;-99;-99;-99;440;24;6;-99;11;-99;0;0;0;0;-99;-99;-99;-99
